feature_type,params,f1_score,accuracy,precision,recall,roc_auc,confusion_matrix
tabular_image,"(500, 5, 0.01, 0.85, 10, 5, 0.3)",0.22429906542056074,0.9803154274872524,0.13636363636363635,0.631578947368421,0.8067364659415065,"[[8243  152]
 [  14   24]]"
tabular_image,"(500, 5, 0.01, 0.85, 10, 10, 0.1)",0.19433198380566802,0.976402229337128,0.11483253588516747,0.631578947368421,0.8047710103131563,"[[8210  185]
 [  14   24]]"
tabular_image,"(500, 5, 0.01, 0.85, 10, 10, 0.3)",0.192,0.976046484050753,0.11320754716981132,0.631578947368421,0.8045923325287608,"[[8207  188]
 [  14   24]]"
tabular_image,"(500, 5, 0.01, 0.85, 30, 5, 0.1)",0.20920502092050208,0.9775880469583778,0.12437810945273632,0.6578947368421053,0.8184649384031849,"[[8219  176]
 [  13   25]]"
tabular_image,"(500, 5, 0.01, 0.85, 30, 5, 0.3)",0.1991701244813278,0.9771137199098778,0.11822660098522167,0.631578947368421,0.8051283658819472,"[[8216  179]
 [  14   24]]"
tabular_image,"(500, 5, 0.01, 0.85, 30, 10, 0.1)",0.17482517482517482,0.9720147041385035,0.10080645161290322,0.6578947368421053,0.8156656531143225,"[[8172  223]
 [  13   25]]"
tabular_image,"(500, 5, 0.01, 0.85, 30, 10, 0.3)",0.176056338028169,0.9722518676627535,0.1016260162601626,0.6578947368421053,0.8157847716372528,"[[8174  221]
 [  13   25]]"
tabular_image,"(500, 5, 0.05, 0.7, 10, 5, 0.1)",0.45161290322580644,0.9959682200877505,0.5833333333333334,0.3684210526315789,0.6836149337011379,"[[8385   10]
 [  24   14]]"
tabular_image,"(500, 5, 0.05, 0.7, 10, 5, 0.3)",0.45901639344262296,0.9960868018498755,0.6086956521739131,0.3684210526315789,0.6836744929626031,"[[8386    9]
 [  24   14]]"
tabular_image,"(500, 5, 0.05, 0.7, 10, 10, 0.1)",0.5079365079365079,0.9963239653741255,0.64,0.42105263157894735,0.7099902824362873,"[[8386    9]
 [  22   16]]"
tabular_image,"(500, 5, 0.05, 0.7, 10, 10, 0.3)",0.5230769230769231,0.9963239653741255,0.6296296296296297,0.4473684210526316,0.7230886179116642,"[[8385   10]
 [  21   17]]"
tabular_image,"(500, 5, 0.05, 0.7, 30, 5, 0.1)",0.45714285714285713,0.9954938930392505,0.5,0.42105263157894735,0.7095733676060312,"[[8379   16]
 [  22   16]]"
tabular_image,"(500, 5, 0.05, 0.7, 30, 5, 0.3)",0.463768115942029,0.9956124748013756,0.5161290322580645,0.42105263157894735,0.7096329268674963,"[[8380   15]
 [  22   16]]"
tabular_image,"(500, 5, 0.05, 0.7, 30, 10, 0.1)",0.4722222222222222,0.9954938930392505,0.5,0.4473684210526316,0.7226717030814082,"[[8378   17]
 [  21   17]]"
tabular_image,"(500, 5, 0.05, 0.7, 30, 10, 0.3)",0.463768115942029,0.9956124748013756,0.5161290322580645,0.42105263157894735,0.7096329268674963,"[[8380   15]
 [  22   16]]"
tabular_image,"(500, 5, 0.05, 0.85, 10, 5, 0.1)",0.5,0.9964425471362505,0.6818181818181818,0.39473684210526316,0.6969515062223754,"[[8388    7]
 [  23   15]]"
tabular_image,"(500, 5, 0.05, 0.85, 10, 5, 0.3)",0.4827586206896552,0.9964425471362505,0.7,0.3684210526315789,0.6838531707469985,"[[8389    6]
 [  24   14]]"
tabular_image,"(500, 5, 0.05, 0.85, 10, 10, 0.1)",0.5396825396825397,0.9965611288983754,0.68,0.4473684210526316,0.7232077364345946,"[[8387    8]
 [  21   17]]"
